;year;doi;authors;title;abstract;type;source;code_0;code_1;code_2
10;2021;10.1109/COMPSAC51774.2021.00053;"Lisi A.; Di Francesco Maesa D.; Mori P.; Ricci L.";Lightnings over rose bouquets: An analysis of the topology of the Bitcoin Lightning Network;The Lightning Network is a P2P overlay that allows two Bitcoin users to create a new payment channel with a transaction, and later exchange cryptocurrency on that channel independently from the Bitcoin blockchain, improving Bitcoin’s scalability issues and making it more suitable for frequent micro-payments. Moreover, the channels can also be used to route payments between two users who do not share a direct channel themselves. In this paper we study the topology of the Lightning Network in a given time period, performing a number of analysis on the channels and on the nodes composing the network. We study the churn rate, we evaluate centrality measurements and the clustering coefficient to evaluate the network connectivity, and finally we analyze the presence of a pattern that we named “bouquet”. The importance of this pattern is proven by the finding that, removing specific nodes of the “bouquets” (1% of the total) causes the disconnection from the largest component of about 41% nodes. © 2021 IEEE.;conference paper;scopus;Analysis;Topology;LN
11;2022;10.3390/cryptography6020029;"Azzolini D.; Riguzzi F.";Probabilistic Logic Models for the Lightning Network;The Lightning Network (LN) has emerged as one of the prominent solutions to overcome the biggest limit of blockchain based on PoW: scalability. LN allows for creating a layer on top of an existing blockchain where users can send payments and micro-payments without waiting long confirmation times. One of the key features of LN is that payments can also be sent towards nodes that are not directly connected. From the routing perspective, the balance of an edge that connects two nodes is known, but the distribution between the two involved ends is unknown. Thus, the process of sending payments is based on a trial and error approach, and the routing can be considered probabilistic. Probabilistic Logic Programming (PLP) is a powerful formalism that allows the representation of complex relational domains characterized by uncertainty. In this paper, we study the problem of reasoning about the existence of a path between two nodes that can route a payment of a given size leveraging multiple models based on PLP. We adopt some recently proposed extensions of PLP and develop several models that can be adapted to represent multiple scenarios. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.;article;scopus;Analysis;Topology;LN
12;2022;10.1007/978-3-031-04216-4_28;"Azzolini D.; Riguzzi F.; Bellodi E.; Lamma E.";A Probabilistic Logic Model of Lightning Network;One of the main limitations of blockchain systems based on Proof of Work is scalability, making them unsuitable for e-commerce and small payments. Currently, one of the principal directions to overcome the scalability issue is to use the so-called “layer two” solutions, like Lightning Network, where users can open channels and send payments through them. In this paper, we propose a Probabilistic Logic model of Lightning Network, and we show how it can be adopted to compute several properties of it. We conduct some experiments to prove the applicability of the model, rather than providing a comprehensive analysis of the network. © 2022, Springer Nature Switzerland AG.;conference paper;scopus;Analysis;Topology;LN
13;2022;10.1109/LATINCOM56090.2022.10000445;"Camilo G.F.; Rebello G.A.F.; De Souza L.A.C.; Potop-Butucaru M.; Amorim M.D.; Campista M.E.M.; Costa L.H.M.K.";Topological Evolution Analysis of Payment Channels in the Lightning Network;Payment channel networks (PCN) offer a fast, secure, and distributed alternative payment method while avoiding slow consensus mechanisms of blockchains. Nonetheless, the PCN topology directly influences the performance, cost, and payment success rate. This paper 1 analyzes the evolution of the Lightning Network topology, which is currently the leading payment channel network. We reconstruct the network graph using real data from a set of channel announcement messages collected between January 2020 and August 2021. Our analysis uses typical graph metrics, such as transitivity, diameter, and degree centrality, to evaluate the state and evolution of the network. The results show a strong trend in resource and connectivity centralization. Only 0.38% of nodes concentrate 50% of the network capacity, exposing a vulnerability to targeted attacks. As with the Bitcoin cryptocurrency, the centralization of the Lightning PCN directly contrasts with the original goal of a fully-decentralized network. Moreover, the low network transitivity compromises channel rebalancing techniques, which contribute to the stability of the system. This trend evidences the need for new attachment policies prioritizing greater network decentralization and robustness.  © 2022 IEEE.;conference paper;scopus;Analysis;Topology;LN
14;2017;10.48550/arXiv.1702.05812;Miller, A., Bentov, I., Kumaresan, R., Cordi, C., McCorry, P.;Sprites and state channels: Payment networks that go faster than lightning;Bitcoin, Ethereum and other blockchain-based cryptocurrencies, as deployed today, cannot scale for wide-spread use. A leading approach for cryptocurrency scaling is a smart contract mechanism called a payment channel which enables two mutually distrustful parties to transact efficiently (and only requires a single transaction in the blockchain to set-up). Payment channels can be linked together to form a payment network, such that payments between any two parties can (usually) be routed through the network along a path that connects them. Crucially, both parties can transact without trusting hops along the route. In this paper, we propose a novel variant of payment channels, called Sprites, that reduces the worst-case “collateral cost” that each hop along the route may incur. The benefits of Sprites are two-fold. 1) In Lightning Network, a payment across a path of ` channels requires locking up collateral for Θ(`∆) time, where ∆ is the time to commit an on-chain transaction. Sprites reduces this cost to Θ(` + ∆). 2) Unlike prior work, Sprites supports partial withdrawals and deposits, during which the channel can continue to operate without interruption. In evaluating Sprites we make several additional contributions. First, our simulation-based security model is the first formalism to model timing guarantees in payment channels. Our construction is also modular, making use of a generic abstraction from folklore, called the “state channel,” which we are the first to formalize. We also provide a simulation framework for payment network protocols, which we use to confirm that the Sprites construction mitigates against throughput-reducing attacks.;preprint;arxiv;New Protocol;Performance;LN
15;2022;10.1109/ACCESS.2022.3174549;"Oleas-Chavez L.E.; Perez-Sola C.; Herrera-Joancomarti J.";Apples and Oranges: On How to Measure Node Centrality in Payment Channel Networks;The Bitcoin Lightning Network (LN) disrupts the scenario as a fast and scalable method to make payment transactions off-chain, alongside the Bitcoin network, thereby reducing the on-chain burden. Understanding the topology of the LN is crucial, not only because it is key to performance, but also for ensuring its security and privacy guarantees. The topology of the LN affects, among others, the ability to successfully route payments between nodes, its resilience (against both attacks and random failures), and the privacy of payments. Existing research on LN topology focuses on studying the degree, betweenness, and closeness as metrics that better describe the centrality of nodes. However, to the best of our knowledge, previous studies do not encompass the network as a whole because of the limitation of using only the capacity of channels as its principal property. The contributions of this study are two-fold. On the one hand, this paper discusses the application of classic centrality metrics for evaluating the centrality in the LN. On the other hand, we provide alternative metrics to evaluate centrality. Our approach extends the analysis by adding metrics (strength, Opsahl, current-flow betweenness) and network properties (capacity, fee, balance, channel, and pending Hashed Timelock Contracts (HTLCs)). Based on the results obtained using these metrics, we provide an in-depth analysis of the metric that best defines the centrality of this network.  © 2013 IEEE.;article;scopus;Analysis;Topology;LN
16;2022;10.1016/j.pmcj.2022.101584;"Zabka P.; Foerster K.-T.; Schmid S.; Decker C.";Empirical evaluation of nodes and channels of the lightning network;Off-chain networks provide an attractive solution to the scalability challenges faced by cryptocurrencies such as Bitcoin. While first interesting networks are emerging, we currently have relatively limited insights into the structure and distribution of these networks. Such knowledge, however, is useful, when reasoning about possible performance improvements or the security of the network. For example, information about the different node types and implementations in the network can help when planning the distribution of critical software updates. This paper reports on a large measurement study of Lightning, a leading off-chain network, considering recorded network messages over a period of more than two years. In particular, we present an approach to classify the node types (LND, C-Lightning and Eclair) in the network, and find that we can determine the implementation of 99.9% of nodes correctly in our data set. We then report on geographical aspects of the Lightning Network, showing that proximity is less relevant, and that the Lightning Network is particularly predominant in metropolitan areas. Furthermore, we address various aspects of channels in the Lightning Network combined with the data we classified. We also demonstrate that channel endpoints behave very fairly and rarely cheat, that the same channel endpoints tend not to reconnect after the channel connection has closed and that there are more inactive than active channels in the Lightning Network. As a contribution to the research community, we will release our experimental data together with this paper. © 2022 The Author(s);article;scopus;Analysis;Topology;LN
17;2023;10.3390/jtaer18030068;"Dasaklis T.K.; Malamas V.";A Review of the Lightning Network’s Evolution: Unraveling Its Present State and the Emergence of Disruptive Digital Business Models;The Lightning Network (LN), a second-layer protocol built on top of the Bitcoin blockchain, is an innovative digital payment solution that offers increased convenience, speed, and cost-effectiveness to consumers and businesses alike. However, there is limited literature available on the characteristics of this nascent technology, the depth and breadth of the various business LN-related applications as well as relevant adoption/implementation challenges. This study aims to contribute to the understanding of the LN’s characteristics, its potential in enhancing business operations and its applicability across different sectors, while taking into account adoption and implementation challenges. We apply a narrative review methodology using a semi-systematic approach to examine new and emerging business models empowered by the LN and its characteristics, topology, performance, privacy and security. We analyze the data to identify key themes and trends in the literature, offering a critical analysis of the strengths and weaknesses of the existing literature. Based on the findings, we provide several clusters of fruitful areas for future research directions. This study not only provides crucial insights for businesses contemplating the adoption of LN to improve their operations and customer experience, but it also represents a substantial academic contribution, offering valuable knowledge and fostering further research in the fields of blockchain technology, FinTech and cryptocurrencies. © 2023 by the authors.;article;scopus;Analysis;Topology;LN
18;2023;10.1016/j.bcra.2022.100109;"Howell A.; Saber T.; Bendechache M.";Measuring node decentralisation in blockchain peer to peer networks;New blockchain platforms are launching at a high cadence, each fighting for attention, adoption, and infrastructure resources. Several studies have measured the peer-to-peer (P2P) network decentralisation of Bitcoin and Ethereum (i.e., two of the largest used platforms). However, with the increasing demand for blockchain infrastructure, it is important to study node decentralisation across multiple blockchain networks, especially those containing a small number of nodes. In this paper, we propose NodeMaps, a data processing framework to capture, analyse, and visualise data from several popular P2P blockchain platforms, such as Cosmos, Stellar, Bitcoin, and Lightning Network. We compare and contrast the geographic distribution, the hosting provider diversity, and the software client variance in each of these platforms. Through our comparative analysis of node data, we found that Bitcoin and its Lightning Network Layer 2 protocol are widely decentralised P2P blockchain platforms, with the largest geographical reach and a high proportion of nodes operating on The Onion Router (TOR) privacy-focused network. Cosmos and Stellar blockchains have reduced node participation, with nodes predominantly operating in large cloud providers or well-known data centres. © 2022 The Authors;article;scopus;Analysis;Topology;LN
19;2023;10.1109/MetaCom57706.2023.00057;"Liu B.; Tao B.; Dai H.-N.";Complex Network Analysis on Blockchain Payment Channel Networks for Metaverse;In the emerging metaverse ecosystem, blockchain is an enabling technology to ensure trustworthy transactions among metaverse virtual/real entities. However, existing blockchains suffer from their performance limitation. Payment channel networks have been emerging as a solution to dispel the performance curse of blockchains by executing transactions via a privacy channel maintained between entities. In this paper, we conduct complex network analysis on blockchain payment channel networks (PCNs). We consider two typical PCNs: the Ripple and Lightning networks as representatives. We analyze the Ripple and Lightning network from the perspectives of degree distribution, word-cloud analysis, small-world phenomenon, connected components, betweenness and closeness, and the rich-club phenomenon. We obtain some important implications through the complex network analysis, such as the scale-free phenomenon the small-world phenomenon, and the non-rich-club effect of the two typical PCNs. Such findings will contribute to future in-depth analysis of the structural characteristics of blockchain PCNs and provide guidelines for designing efficient scheduling schemes for PCNs to support diverse metaverse applications. © 2023 IEEE.;conference paper;scopus;Analysis;Topology;LN
20;2018;10.48550/arXiv.1807.00151;Grunspan, C., Pérez-Marco, R.;Ant routing algorithm for the lightning network;We propose a decentralized routing algorithm that can be implemented in Bitcoin Lightning Network. All nodes in the network contribute equally to path searching. The algorithm is inspired from ant path searching algorithms.;preprint;arxiv;New Protocol;Performance;LN
21;2024;;"Atmanavičiute L.; Vanagas T.; Grigaras J.; Masteika S.";Data processing method for Gini coefficient application in assessing the centralization within the BTC lightning network;The Bitcoin Lightning Network (BLN) is a second layer blockchain solution, which emerged to address scalability issues. However, potential centralization concerns have surfaced as current distribution might indicate a trend toward centralization. The Gini coefficient, a measure of inequality, can be applied to BLN to assess its centralization by analyzing the distribution of channel capacity among nodes. This research proposes a data processing method specifically designed to utilize the Gini coefficient for evaluating centralization within the BLN. Main challenge in applying the Gini coefficient to assess BLN centralization is limitations of existing research. The lack of description on how to process data makes it difficult to replicate these studies and verify the conclusions made by other researchers. The proposed data processing method addresses the challenges associated with collecting data from both Bitcoin blockchain and Lightning Network, including data linking, storage, and variable selection. Results of the experimental research of the proposed method show that Gini coefficient increased from 0.829 to 0.930. The results are confirmed by existing research and can be used for future research to explore the BLN centralization. © 2024 CEUR-WS. All rights reserved.;conference paper;scopus;Analysis;Topology;LN
22;2024;10.1007/978-3-031-68208-7_9;"Espinasa-Vilarrasa P.; Sanvicente S.; Pérez-Solà C.; Herrera-Joancomartí J.";Decision Tree Based Inference of Lightning Network Client Implementations;The Lightning Network (LN) is a second layer payment protocol on top of Bitcoin. It creates a peer-to-peer (P2P) network of payment channels that enable instant payments. The LN can be accessed through different implementations or clients, the most popular being Lightning Network Daemon (LND), Core Lightning Network (CLN), and Eclair. The first step in many known attacks to the LN is to infer the software client the node is running. This paper presents two classification models based on decision trees to infer the implementation of LN clients from either the traffic of the gossip protocol or the announced BOLT #9 features, offering a cost-free means of identification. The accuracy presented by both models in our experiments is high, ranging from 87% to 100% depending on the model and the environment where it is deployed. The application of our inference models on the LN shows a prevalence of LND clients. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.;conference paper;scopus;Analysis;Topology;LN
23;2024;10.48550/arXiv.2407.07916;Feichtinger, R., Grötschla, F., Heimbach, L., Wattenhofer, R.;Benchmarking GNNs Using Lightning Network Data;The Bitcoin Lightning Network is a layer 2 protocol designed to facilitate fast and inexpensive Bitcoin transactions. It operates by establishing channels between users, where Bitcoin is locked and transactions are conducted off-chain until the channels are closed, with only the initial and final transactions recorded on the blockchain. Routing transactions through intermediary nodes is crucial for users without direct channels, allowing these routing nodes to collect fees for their services. Nodes announce their channels to the network, forming a graph with channels as edges. In this paper, we analyze the graph structure of the Lightning Network and investigate the statistical relationships between node properties using machine learning, particularly Graph Neural Networks (GNNs). We formulate a series of tasks to explore these relationships and provide benchmarks for GNN architectures, demonstrating how topological and neighbor information enhances performance. Our evaluation of several models reveals the effectiveness of GNNs in these tasks and highlights the insights gained from their application.;preprint;arxiv;Analysis;Topology;LN
24;2024;10.48550/arXiv.2409.15930;Grötschla, F., Heimbach, L., Richner, S., Wattenhofer, R.;On the Lifecycle of a Lightning Network Payment Channel;The Bitcoin Lightning Network, launched in 2018, serves as a layer 2 scaling solution for Bitcoin. The Lightning Network allows users to establish channels between each other and subsequently exchange off-chain payments. Together, these channels form a network that facilitates payments between parties even if they do not have a channel in common. The Lightning Network has gained popularity over the past five years as it offers an attractive alternative to on-chain transactions by substantially reducing transaction costs and processing times. Nevertheless, due to the privacy-centric design of the Lightning Network, little is understood about its inner workings. In this work, we conduct a measurement study of the Lightning Network to shed light on the lifecycle of channels. By combining Lightning gossip messages with on-chain Bitcoin data, we investigate the lifecycle of a channel from its opening through its lifetime to its closing. In particular, our analysis offers unique insights into the utilization patterns of the Lightning Network. Even more so, through decoding the channel closing transactions, we obtain the first dataset of Lightning Network payments, observe the imbalance of channels during the closing, and investigate whether both parties are involved in the closing, or one closes the channel unilaterally. For instance, we find nearly 60% of cooperatively closed channels are resurrected, i.e., their outputs were used to fund another channel.;preprint;arxiv;Analysis;Topology;LN
25;2024;10.1109/TNET.2024.3445274;"Khamis J.; Kotzer A.; Rottenstreich O.";Topologies for Blockchain Payment Channel Networks: Models and Constructions;Payment channel networks (PCNs), also known as off-chain networks, implement a common approach to deal with the scalability problem of blockchain networks. They enable users to execute payments without committing them to the blockchain by relying on predefined payment channels. A pair of users can employ a payment even without a direct channel between them, by routing the payment via payment channels involving other intermediate users. Users, together with the channels, form a graph known as the off-chain network topology. The off-chain topology and the payment characteristics affect network performance such as the average number of intermediate users a payment is routed through or the values of transaction fees. In this paper, we study two basic problems in payment channel network design. First, efficiently mapping users to an off-chain topology with a known structure. Second, constructing a topology with a bounded number of channels that can serve users well with associated payments. We design algorithms for both problems while considering several fundamental topologies. We study topology-related real data statistics of Raiden, the off-chain extension for Ethereum as well as of Lightning, the equivalent off-chain layer of Bitcoin. We conduct experiments to demonstrate the effectiveness of the algorithms for these networks. © 1993-2012 IEEE.;article;scopus;Analysis;Topology;LN
26;2024;10.1016/j.telpol.2023.102696;"Zabka P.; Förster K.-T.; Decker C.; Schmid S.";A centrality analysis of the Lightning Network;Blockchain technology has a huge impact on our digital society by enabling a more decentralized economy and policy making. This decentralization is also pivotal in payment Payment channel networks (PCNs), including the Lightning Network, have emerged as a promising solution to the scalability challenges that many blockchain-based cryptocurrencies, like Bitcoin, grapple with. These PCNs, while innovative, also inherit the rigorous dependability demands of the blockchain. A pivotal aspect of this dependability is the need for a high degree of decentralization, essential for mitigating liquidity bottlenecks and on-path attacks. Driven by this imperative, our research embarks on an empirical centrality analysis of the Lightning Network, with a keen focus on the betweenness centrality distribution of its routing system. Utilizing an extensive dataset, sourced from several millions of broadcasted messages via the gossip protocol, we introduce the TimeMachine tool, an innovative method that allows for a temporal exploration of the network's evolution. Our findings reveal that while the Lightning Network exhibits a commendable level of decentralization, there is a discernible skew: a limited set of nodes command a significant portion of the transactions. Alarmingly, over the past two years, the network's centrality has surged, with the inequality, as gauged by the Gini index, rising by over 15 uptick of approximately 5 in. This research not only uncovers critical insights into the Lightning Network's structural dynamics but also raises the question about strategies and policies that ensure its sustained decentralization in the face of evolving challenges such as security vulnerabilities, potential monopolistic tendencies, liquidity bottlenecks, the risk of transaction censorship and many more. © 2023 The Authors;article;scopus;Analysis;Topology;LN
27;2018;10.14722/ndss.2018.23252;"Roos S.; Moreno-Sanchez P.; Kate A.; Goldberg I.";Settling Payments Fast and Private: Efficient Decentralized Routing for Path-Based Transactions;Decentralized path-based transaction (PBT) networks maintain local payment channels between participants. Pairs of users leverage these channels to settle payments via a path of intermediaries without the need to record all transactions in a global blockchain. PBT networks such as Bitcoin’s Lightning Network and Ethereum’s Raiden Network are the most prominent examples of this emergent area of research. Both networks overcome scalability issues of widely used cryptocurrencies by replacing expensive and slow on-chain blockchain operations with inexpensive and fast off-chain transfers. At the core of a decentralized PBT network is a routing algorithm that discovers transaction paths between sender and receiver. In recent years, a number of routing algorithms have been proposed, including landmark routing, utilized in the decentralized IOU credit network SilentWhispers, and Flare, a link state algorithm for the Lightning Network. However, the existing efforts lack either efficiency or privacy, as well as the comprehensive analysis that is indispensable to ensure the success of PBT networks in practice. In this work, we first identify several efficiency concerns in existing routing algorithms for decentralized PBT networks. Armed with this knowledge, we design and evaluate SpeedyMurmurs, a novel routing algorithm for decentralized PBT networks using efficient and flexible embedding-based path discovery and on-demand efficient stabilization to handle the dynamics of a PBT network. Our simulation study, based on real-world data from the currently deployed Ripple credit network, indicates that SpeedyMurmurs reduces the overhead of stabilization by up to two orders of magnitude and the overhead of routing a transaction by more than a factor of two. Furthermore, using SpeedyMurmurs maintains at least the same success ratio as decentralized landmark routing, while providing lower delays. Finally, SpeedyMurmurs achieves key privacy goals for routing in decentralized PBT networks. © 2018 25th Annual Network and Distributed System Security Symposium, NDSS 2018. All Rights Reserved.;conference paper;scopus;New Protocol;Performance;Other
